"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",49,"left","low","False","False",612,-50,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","True","False",510,50,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","True","False",427,150,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","True","False",528,250,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","False","False",422,200,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",51,"right","high","True","False",1886,300,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",51,"right","high","True","False",725,400,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",51,"right","high","True","False",440,500,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",49,"left","low","False","False",437,450,NA
"A2OGF317RQ2GJX","Mon Oct 26 2020 11:15:35 GMT-0400 (Eastern Daylight Time)","Mon Oct 26 2020 11:23:12 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",49,"left","low","False","False",976,400,NA
