"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",757,100,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low","True","False",1471,200,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",587,300,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low","False","False",461,250,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","False","False",696,200,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",548,300,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low","False","False",327,250,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",204,350,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",303,450,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",632,550,NA
"A3CSE6A6KPZAXR","Fri Oct 30 2020 14:12:39 GMT-0400 (Eastern Daylight Time)","Fri Oct 30 2020 14:26:58 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",564,650,NA
