"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","False","False",1433,-50,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",51,"right","low","False","False",326,-100,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high","True","False",391,0,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high","True","False",275,100,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high","True","False",661,200,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high","False","False",700,150,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high","True","False",328,250,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high","True","False",813,350,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",51,"right","low","False","False",1219,300,NA
"A3HFS6Q0TONAB9","Fri Oct 30 2020 14:35:51 GMT-0400 (Cuba Daylight Time)","Fri Oct 30 2020 14:44:14 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high","False","False",309,250,NA
