"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",51,"right","high","True","False",1404,100,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",51,"right","high","True","False",397,200,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",51,"right","high","False","False",421,150,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",49,"left","medium","True","False",283,250,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",49,"left","medium","True","False",418,350,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","red",50,"middle","low","False","False",489,300,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",49,"left","medium","False","False",347,250,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",51,"right","high","True","False",222,350,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",51,"right","high","True","False",375,450,NA
"A1YBJN6WT3X8B5","Sat Oct 31 2020 23:12:14 GMT-0400 (Eastern Daylight Time)","Sat Oct 31 2020 23:18:53 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.53.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.77 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",51,"right","high","True","False",445,550,NA
