"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low","False","False",544,-50,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",51,"right","medium","True","False",442,50,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",51,"right","medium","False","False",314,0,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",436,100,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",403,200,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",451,300,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",635,400,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",563,500,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",475,600,NA
"A1ESLDCYJIENVI","Wed Oct 28 2020 20:36:07 GMT-0400 (Eastern Daylight Time)","Wed Oct 28 2020 20:44:36 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",435,700,NA
