"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low","False","False",740,-50,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",288,50,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","False","False",227,0,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",194,100,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","False","False",202,50,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",22,150,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",27,250,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","False","False",43,200,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","False","False",13,150,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",21,250,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low","False","False",263,200,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low","False","False",95,150,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",206,250,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","False","False",37,200,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",96,300,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",115,400,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",161,500,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",67,600,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",232,700,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","False","False",129,650,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",27,750,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",9,850,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",267,950,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",24,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",167,1050,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",25,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","False","False",85,1000,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",26,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",38,1100,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",27,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",152,1200,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",28,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","False","False",159,1150,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",29,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",41,1250,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",30,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","False","False",53,1200,NA
"A2G7F8S617H0BB","Thu Sep 17 2020 14:10:37 GMT-0700 (Pacific Daylight Time)","Thu Sep 17 2020 14:16:24 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",31,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",51,"right","medium","True","False",34,1300,NA
