"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",50,"middle","medium","False","False",1125,-50,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","False","False",427,-100,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","False","False",282,-150,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",50,"middle","medium","False","False",307,-200,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","False","False",323,-250,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",203,-150,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",226,-50,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","False","False",147,-100,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",139,0,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",418,100,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",219,200,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",259,300,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",107,400,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","True",147,500,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","False","False",227,450,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","True","False",27,550,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","True","False",179,650,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","True","False",43,750,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","True","False",107,850,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","True","False",187,950,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","True","False",172,1050,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","False","False",67,1000,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","False","False",259,950,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",24,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",115,1050,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",25,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",68,1150,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",26,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",19,1250,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",27,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",179,1350,NA
"AH4MHB0B0PJMU","Tue Jan 28 2020 08:43:08 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 08:51:26 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",28,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",76,1450,NA
