"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",1162,100,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",142,200,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",49,"left","low","False","False",630,150,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",363,250,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","False","False",237,200,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","False","False",291,150,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",49,"left","low","False","False",703,100,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",109,200,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",433,300,NA
"AUCHGHY1IKZZK","Tue Jan 28 2020 08:56:49 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:04:15 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; U; U; Linux x86_64; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 Puffin/8.2.1.41222AP",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",418,400,NA
