"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",49,"left","low","False","False",958,-50,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",505,50,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",553,150,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",555,250,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",460,350,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",459,450,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",522,550,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",507,650,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","False","False",412,600,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","False","False",378,550,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",49,"left","low","False","False",455,500,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",343,600,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",386,700,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","False","False",352,650,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",397,750,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",394,850,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",360,950,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",341,1050,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",385,1150,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","True",446,1250,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",50,"middle","low","False","False",397,1200,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",50,"middle","low","False","False",379,1150,NA
"A3DS5B06ZCD3E3","Tue Jan 28 2020 08:01:18 GMT-0600 (Central Standard Time)","Tue Jan 28 2020 08:08:25 GMT-0600 (Central Standard Time)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",50,"middle","low","True","False",345,1250,NA
