"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium","False","False",1300,-50,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",875,50,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",588,150,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",597,250,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",507,350,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",475,450,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",460,550,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",359,650,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",356,750,NA
"A3S5M6R3ZR6ECN","Tue Jan 28 2020 09:15:19 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 09:22:33 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","False","True",380,700,NA
