"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",1476,100,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",1220,200,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",1174,300,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",49,"left","low","False","False",543,250,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","False","False",729,200,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",508,300,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",446,400,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",49,"left","low","False","False",421,350,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",848,450,NA
"A3NBLSA78ZXDNP","Wed Jan 29 2020 07:48:19 GMT-0600 (Central Standard Time)","Wed Jan 29 2020 07:55:20 GMT-0600 (Central Standard Time)","Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","False","False",953,400,NA
