"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",49,"left","low","True","False",1575,100,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",51,"right","medium","False","False",392,50,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",49,"left","low","False","False",337,0,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","False","False",244,-50,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",515,50,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",377,150,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",367,250,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",418,350,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",499,450,NA
"AVBRJBJONL47I","Wed Jan 29 2020 10:17:07 GMT-0800 (Pacific Standard Time)","Wed Jan 29 2020 10:24:02 GMT-0800 (Pacific Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'blue', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",50,"middle","high","True","False",611,550,NA
