"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",49,"left","medium","True","False",1039,100,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","red",51,"right","high","True","False",1381,200,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",50,"middle","low","True","False",1269,300,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","red",51,"right","high","True","False",1529,400,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",49,"left","medium","False","False",1394,350,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",50,"middle","low","False","False",595,300,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","red",51,"right","high","True","False",919,400,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","red",51,"right","high","True","False",612,500,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","red",51,"right","high","True","False",566,600,NA
"A2C6HMH2FDM2CI","Thu Jan 30 2020 08:28:41 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 08:39:02 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'black', u'red']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","red",51,"right","high","True","False",544,700,NA
