"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","black",49,"left","medium","False","False",842,-50,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","red",50,"middle","low","False","False",379,-100,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","True","False",323,0,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","True","False",384,100,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","True","False",371,200,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","True","False",380,300,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","True","False",346,400,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","True","False",319,500,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","True","False",291,600,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","True","False",395,700,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'low', u'high']","blue",51,"right","high","False","True",339,650,NA
"AW0XXNPFHP7XD","Thu Oct 01 2020 08:43:14 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:50:17 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'black', u'red', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",355,750,NA
