"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",49,"left","low","False","False",1657,-50,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",50,"middle","medium","False","False",806,-100,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",442,0,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",4664,100,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",1503,200,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",670,300,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",388,400,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",937,500,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",231,600,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","False","False",680,550,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",49,"left","low","False","False",1861,500,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",50,"middle","medium","False","False",2255,450,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",2512,550,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",839,650,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",513,750,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",456,850,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",401,950,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",444,1050,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",974,1150,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","False","False",534,1100,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",49,"left","low","False","False",670,1050,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",50,"middle","medium","False","False",399,1000,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","False","False",424,950,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",24,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",49,"left","low","False","False",715,900,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",25,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",50,"middle","medium","True","False",355,1000,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",26,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",50,"middle","medium","True","False",569,1100,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",27,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",50,"middle","medium","True","False",489,1200,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",28,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",50,"middle","medium","False","False",490,1150,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",29,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",50,"middle","medium","False","False",804,1100,NA
"ASC9DUCC64M3P","Thu Oct 01 2020 08:40:20 GMT-0700 (Pacific Daylight Time)","Thu Oct 01 2020 08:48:43 GMT-0700 (Pacific Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",30,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",51,"right","high","True","False",367,1200,NA
