"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",50,"middle","medium","False","False",824,-50,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",51,"right","low","False","False",454,-100,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",256,0,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",397,100,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","False","False",328,50,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",50,"middle","medium","False","False",213,0,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",51,"right","low","False","False",227,-50,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","False","False",236,-100,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",50,"middle","medium","False","False",214,-150,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",51,"right","low","False","False",253,-200,NA
"A2YP60DM1HYTH8","Fri Oct 02 2020 10:39:29 GMT-0400 (Cuba Daylight Time)","Fri Oct 02 2020 10:45:45 GMT-0400 (Cuba Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",49,"left","high","True","False",313,-100,NA
