"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",51,"right","medium","False","False",562,-50,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",49,"left","low","False","False",113,-100,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",50,"middle","high","True","False",105,0,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",50,"middle","high","True","False",262,100,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",50,"middle","high","True","False",276,200,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",50,"middle","high","True","False",262,300,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",50,"middle","high","True","False",249,400,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",50,"middle","high","True","False",267,500,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",50,"middle","high","True","False",270,600,NA
"A2SR85I8JMO1ZZ","Sat Oct 03 2020 18:06:51 GMT-0500 (Central Daylight Time)","Sat Oct 03 2020 18:13:04 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",50,"middle","high","True","False",264,700,NA
