"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",49,"left","low","False","False",6376,-50,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","True","False",3739,50,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",3287,150,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","True","False",2820,250,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","True","False",3237,350,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","True","False",2848,450,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","False","False",2039,400,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",2275,500,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",731,600,NA
"A1HMO9XPRPUPWJ","Sun Oct 04 2020 14:25:23 GMT-0400 (Eastern Daylight Time)","Sun Oct 04 2020 14:32:39 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",503,700,NA
