"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","False","False",354,-50,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","False","False",243,-100,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","False","False",210,-150,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","True","False",291,-50,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","False","False",243,-100,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","False","False",235,-150,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","False","False",219,-200,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","True","False",188,-100,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","True","False",113,0,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","True","False",202,100,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","False","False",170,50,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","False","False",74,0,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","True","False",195,100,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","False","False",83,50,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",52,150,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",170,250,NA
"A5BMKZRGHNSRT","Mon Oct 05 2020 10:20:38 GMT-0500 (Central Daylight Time)","Mon Oct 05 2020 10:25:43 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4200.0 Iron Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",155,350,NA
